Commodity,PBEEF,PFSHMEAL,PLAMB,PPORK,PPOULT,PSALM,PSHRI,,
2002M5,96.47,661.87,141.06,46.98,63.35,3.02,6.21,,145.56
2002M6,93.89,644.25,143.31,50.41,63.8,3.05,6.51,,143.6
2002M7,96.9,652.11,150.81,54.87,64.21,3.06,6.42,,146.91
2002M8,95.73,650.15,148.75,46.11,64.11,3.02,6.26,,144.88
2002M9,92.56,662.55,150.45,36.66,64.04,3.13,6.35,,145.1
2002M10,86.97,654.82,154.82,42.81,63,3.14,6.51,,144.58
2002M11,81.56,650.13,154.96,40.6,61.9,3.15,6.77,,142.73
2002M12,84,635.42,157.94,43.67,61.49,3.16,6.81,,141.79
2003M1,85.35,641.65,162.69,46.58,62.25,3.34,6.97,,144.12
2003M2,83.75,637.82,159.7,48.16,63.06,3.25,7.02,,143.25
2003M3,83.88,632.28,153.1,48.84,63.84,3.18,6.7,,141.69
2003M4,82.63,622.2,149.04,49.21,63.54,3.18,6.96,,139.54
2003M5,79.3,640.06,157.01,58.99,64.48,3.25,7.38,,144.35
2003M6,78.25,672.42,165.93,64.81,65.88,2.69,7.58,,151.08
2003M7,81,668.62,152.41,60.9,67.39,2.4,7.23,,148.56
2003M8,91.13,656.84,157.42,56.69,68.51,2.5,7.03,,148.59
2003M9,97,645.36,167.16,56.65,69.21,2.88,7.1,,149.34
2003M10,98.4,643.64,165.75,52.54,68.58,3.16,7.04,,148.45
2003M11,110.75,670.87,160.81,48.69,68.39,2.96,6.93,,152.77
2003M12,105.4,670.59,166.72,48.68,68.98,3.12,6.68,,152.88
2004M1,107.06,711.99,164.66,52.94,69.61,3.23,6.81,,159.47
2004M2,99.5,733.62,163.21,61.03,71.63,3.32,6.88,,162.74
2004M3,97.25,729.21,160.47,65.35,73.09,3.45,6.36,,162.17
2004M4,102.1,713.13,159.11,65.28,74.73,3.61,6.17,,160.59
2004M5,114.63,704.23,158.19,78.87,76.61,3.48,6.92,,163.28
2004M6,116.75,679.41,164.21,78.36,79.55,3.21,6.99,,161.21
2004M7,120.3,666.62,167.86,78.66,80.92,3.11,6.95,,160.63
2004M8,126.75,663.68,164.93,76.03,80.09,3.35,6.54,,160.19
2004M9,127.88,663.5,163.31,74.88,78.1,3.26,6.61,,159.65
2004M10,119.5,667.14,168.81,72.7,76,3.19,6.69,,159.15
2004M11,118.38,691.63,172.32,75.81,74.66,3.23,6.64,,163.24
2004M12,116.8,690.63,182.1,72.18,73.59,3.67,6.76,,163.68
2005M1,115.25,700.23,181.61,72.08,73.41,3.69,6.1,,164.63
2005M2,117.38,707.86,174.78,69.23,73.75,3.89,6.23,,164.73
2005M3,120,714.03,171.85,69.38,73.88,3.98,7.13,,165.75
2005M4,118.2,710.51,167.5,69,74,3.98,6.71,,164.27
2005M5,121.45,695.98,164.53,74.92,74.29,4,6.87,,163.15
2005M6,120.33,682.06,159.83,67.33,74.53,4.18,6.51,,159.25
2005M7,122.6,656.46,154.42,67.52,74.75,4.38,6.43,,155.22
2005M8,120,784.54,154.22,69.71,74.77,4.34,6.81,,173.48
2005M9,120.3,783.29,155.13,67.53,75.18,4.18,6.48,,173.16
2005M10,116.5,817.1,150.35,64.88,74.39,4.08,6.18,,176.21
2005M11,117.25,823.44,148.23,59.88,72.74,3.92,6.28,,175.96
2005M12,115.5,855.24,148.57,60.6,71.17,4.13,6.54,,180.25
2006M1,113.63,910.33,149.23,55.84,69.86,4.03,6.32,,187.03
2006M2,114.75,909.04,146.35,58.43,69.16,4,6.3,,186.86
2006M3,111.9,906.58,140.51,58.51,68.29,4.62,6.48,,185.27
2006M4,112.58,918.24,141.22,55.96,67.52,5.43,6.69,,186.81
2006M5,112.5,970.83,148.52,66.23,67.9,6.17,6.84,,197
2006M6,111.7,958.62,150.16,74.38,68.97,6.68,7.02,,196.79
2006M7,115.13,959.07,155.95,70.1,69.9,6.14,7.19,,197.64
2006M8,117.63,1251.38,169.68,71.93,70.43,5.83,7.39,,242.04
2006M9,117.5,1296.63,164.91,67.91,70.7,4.72,6.91,,247.04
2006M10,117.88,1263.01,155.78,64.32,69.63,4.3,6.82,,240.25
2006M11,121.25,1262.59,158.17,62.12,69.01,4.31,6.99,,240.64
2006M12,121.2,1285.02,162.78,60.59,69.42,4.51,7,,244.36
2007M1,119.25,1258.73,159.32,59.54,71.26,4.46,6.25,,239.83
2007M2,118.38,1252.39,155.38,65.68,73.86,4.62,6.45,,239.54
2007M3,118.4,1268.87,154.24,61.53,76.31,4.7,6.25,,241.47
2007M4,117.63,1289.38,157.18,65.42,78.08,4.78,6.24,,245.53
2007M5,116.63,1266.92,157.32,73.51,79.65,4.43,6.35,,243.54
2007M6,119,1254.15,159.24,74.06,80.76,4.22,6.71,,242.59
2007M7,117.5,1212.95,165.72,70.81,81.16,4.35,7.02,,237.07
2007M8,118.4,1148.05,164.31,70.36,81.27,4.73,6.76,,227.7
2007M9,118.25,1109.22,163.76,63.15,81.56,4.58,7.1,,221.09
2007M10,115.88,1054,167.72,56.69,79.75,4.48,6.96,,212.21
2007M11,117.66,1031.14,170.4,49.95,77.8,4.5,6.89,,208.33
2007M12,119.5,1079.68,165.92,53.28,76.85,4.67,6.8,,215.24
2008M1,121.33,1114.49,161.18,49.76,77.28,4.81,6.74,,219.37
2008M2,127.7,1140.39,173.38,57.86,79.22,4.74,6.89,,227.17
2008M3,106.7,1169.75,178.74,53.24,81.22,5.22,6.66,,228.79
2008M4,103.75,1184.37,183.69,61.15,82.03,5.12,6.84,,232.42
2008M5,124.2,1191.92,186.59,78.11,83.51,5.31,6.91,,239.51
2008M6,129.5,1208.78,185.14,73.9,85.7,5.15,7.36,,242.22
2008M7,133,1265.05,184.13,76.08,88.14,5.62,7.52,,251.36
2008M8,135.5,1240.64,177.66,84.56,88.55,5.37,7.25,,248.5
2008M9,129.4,1223.44,170.13,71.16,88.38,4.96,7.39,,242.12
2008M10,115.92,1101.43,162.1,63.67,87.54,4.16,7.07,,220.27
2008M11,115,1049.74,145.13,52.6,86.91,3.82,6.99,,208.6
2008M12,111.25,1032.27,140.81,53.7,87.02,3.9,6.98,,205.13
2009M1,114.13,1037.3,137.4,55.99,87.24,4.11,6.22,,206.06
2009M2,107.13,1046.77,133.92,57.37,86.7,4.12,6.11,,206.02
2009M3,112.38,1054.07,131.97,57.35,85.73,4.48,6.36,,207.47
2009M4,115.5,1055.71,139.44,57.83,85.67,4.8,6.11,,209.29
2009M5,119.6,1117.44,143.13,58.53,86.99,5.44,6.37,,219.64
2009M6,122.13,1164.08,153.37,57.05,88.13,5.5,6.48,,228.1
2009M7,124,1222.51,154.13,57.85,88.59,5.77,6.35,,237.03
2009M8,124,1295.4,155.77,49.56,86.9,4.99,6.29,,246.13
2009M9,124.13,1362.82,154.61,50.56,84.97,5,6.65,,255.53
2009M10,120.5,1463.87,152.03,50.9,82.88,4.81,6.62,,268.8
2009M11,125,1557.8,155.55,54.13,82.14,5.01,6.56,,283.74
2009M12,127,1692.45,151.99,61.85,82.16,5.05,6.33,,303.83
2010M1,133.88,1748.38,152.32,67.34,82.99,5.15,6.45,,313.79
2010M2,141.75,1709.79,147.78,66.18,83.25,5.54,6.28,,308.65
2010M3,152.1,1793.86,142.38,70.93,83.96,5.99,6.21,,322.2
2010M4,164.75,1961.11,144.95,77.57,85.24,6.48,6.62,,349.53
2010M5,157.75,1907.78,138.19,85.28,86.48,6.32,6.41,,341.17
2010M6,144.81,1817.13,138.06,78.72,87.17,5.95,6.93,,325.54
2010M7,145.39,1705.03,143.14,78.8,87.82,6.31,7.31,,310.54
2010M8,152.5,1673.83,147,83.15,87.79,6.44,7.19,,308.27
2010M9,152.5,1632.19,147.03,81.93,87.75,6.2,7.4,,302.14
2010M10,154.75,1665.71,149.51,71.15,86.72,6.37,7.66,,305.98
2010M11,156.5,1662.63,150.75,63.48,85.73,6.06,7.26,,304.63
2010M12,173.03,1593.21,146.35,68.81,85.33,6.9,7.3,,297.27
2011M1,185.63,1607.46,147.57,75.04,85,6.8,7.62,,302.16
2011M2,183.73,1612.82,150.32,83.22,85.26,6.98,7.41,,304.25
2011M3,187.72,1755.65,152.53,84.64,86.06,7.3,7.83,,325.96
2011M4,193,1760.73,154.08,92.06,86.41,7.84,8.06,,328.88
2011M5,184.11,1590.95,154.33,92.45,86.56,7.43,7.82,,303.38
2011M6,178.36,1508,153.14,94.55,86.95,6.3,7.71,,290.72
2011M7,177.76,1469.08,152.24,96.92,87.34,5.63,7.63,,285.23
2011M8,180.85,1455.06,153.8,103.02,88.12,5.38,8.02,,284.89
2011M9,175.93,1346.9,147.54,88.55,88.97,4.78,7.66,,265.76
2011M10,174.28,1352.34,147.53,92.48,89,4.26,8.25,,266.88
2011M11,186.68,1402.34,142.43,85.7,89.21,4.23,8.05,,274.09
2011M12,190.09,1369.68,134.34,83.76,89.83,4.55,7.8,,268.58
2012M1,190.93,1295.05,130.56,84.13,90.37,4.35,7.85,,257.61
2012M2,194.1,1315.22,125.16,86.41,91.2,4.77,8.2,,260.72
2012M3,194.36,1319.33,117.42,84.69,92.77,5.05,7.79,,260.2
2012M4,192.1,1408.1,110.66,79.85,93.26,4.98,7.58,,270.93
2012M5,187.3,1518,98.78,79.15,94.08,5.01,7.46,,284.26
2012M6,183.6,1642.3,91.07,91.87,94.5,4.52,7.48,,302.19
2012M7,180.36,1735.12,90.32,94.47,94.72,4.44,7.16,,315.23
2012M8,183.13,1755.74,88.17,86.38,95.02,4.65,7.18,,317.18
2012M9,180.25,1716.05,90.36,68.77,95.65,4.81,7.21,,309.01
2012M10,181.54,1694.59,90.22,79.72,95.84,4.43,7.07,,307.63
2012M11,192.02,1902.06,89.52,77.9,96.62,4.68,7.26,,338.58
2012M12,195.62,2190.08,93.51,80.02,97.68,5.24,7.38,,381.36
2013M1,195.39,2088.6,95.76,82.79,99.09,6.16,7.39,,367.88
2013M2,194.28,1882.6,96.39,83.08,100.21,6.43,7.49,,338.64
2013M3,191.79,1783.98,94,73.36,101.47,6.56,7.48,,322.66
2013M4,191.68,1834.49,96.24,77.95,102.62,7.07,7.76,,331.12
2013M5,179.59,1835.82,102.49,89.17,104.16,7.36,8.1,,332.38
2013M6,174.25,1743.89,104.74,98.1,105.54,6.88,8.31,,320.24
2013M7,176.58,1598.54,103.72,98.45,106.41,7.35,8,,299.86
2013M8,176.26,1621.8,107.63,96.12,106.5,6.96,8.5,,303.4
2013M9,175.6,1525.27,110.88,91.73,106.2,5.81,9.01,,289.21
2013M10,178.07,1520.09,114.05,87.76,105.28,6.1,9.7,,288.72
2013M11,183.31,1549.37,118.78,81.5,104.66,6.38,10.18,,293.45
2013M12,185.95,1557.11,125.46,78.57,104.25,7.53,10.42,,295.61
2014M1,187.46,1586.17,126.81,78.85,104.39,8.06,10.24,,300.28
2014M2,190.25,1658.39,128.55,86.35,104.5,7.79,10.64,,312.35
2014M3,197.76,1729.28,135.1,113.21,105.23,7.43,10.75,,328.4
2014M4,191.23,1763.83,140.38,120.33,107.09,7.56,10.73,,334.45
2014M5,194.55,1820.16,145.28,110.47,108.69,7.07,10.65,,342.41
2014M6,200.79,2000.88,147.47,115.27,110.87,6.19,10.38,,370.26
2014M7,227.5,2048.97,145.89,128.67,112.53,6.39,9.75,,382.81
2014M8,258.86,2000.09,139.9,109.2,112.79,5.93,9.39,,376.59
2014M9,272.3,1871.81,135.63,100.53,113.52,5.49,9.4,,358.38
2014M10,266.93,1985.42,133.04,101.9,113.89,5.37,9.88,,373.78
2014M11,261.5,2204.08,130.64,86.16,113.94,5.75,9.81,,401.7
2014M12,239.59,2388.57,128.11,82.81,113.77,6.15,9.57,,424.08
2015M1,232.02,2169.83,123.69,73,114.09,5.95,8.91,,389.64
2015M2,209.88,2028.45,119.42,61.84,113.77,5.58,8.87,,363.97
2015M3,207.8,1897.3,109.97,61.71,114.27,5.14,8.68,,343.55
2015M4,214.43,1854.61,109.03,60.98,114.97,5.12,8.53,,338.24
2015M5,199.21,1728.81,110.24,77.32,115.97,5.12,8.75,,320.77
2015M6,195.05,1649.19,108.01,77.35,116,5.16,8.52,,308.47
2015M7,204.41,1556.97,106.9,75.92,115.92,5.29,7.76,,296.17
2015M8,212,1552.02,98.09,75.58,115.44,5.45,7.81,,295.2
2015M9,202.41,1567.7,93.53,69.84,115,5.03,7.9,,294.49
2015M10,184.55,1647.57,92.88,71.24,114.31,5.02,8.34,,303.42
2015M11,177.07,1753.72,91.4,57.03,113.35,5.02,8.27,,315.12
2015M12,167.11,1704.36,90.68,53.11,113.06,5.79,8.5,,306.09
2016M1,159.07,1555.3,87.27,54.51,112.54,6.45,8.09,,283.32
2016M2,171.31,1455.94,86.61,62.94,112.11,6.14,8.43,,271.93
2016M3,176.2,1387.81,86.12,63.43,111.56,6.91,8.26,,262.9
2016M4,176.9,1428.94,86.67,64.81,111.56,7.11,8.61,,269.23
2016M5,179.45,1528.42,91.66,73.99,111.98,7.27,8.55,,285.9
2016M6,181.45,1577.25,96.04,79.05,111.86,7.67,8.66,,294.57
2016M7,187.74,1403.44,88.97,76.01,111.45,8.01,8.32,,269.14
2016M8,185.61,1427.45,92.11,65.16,111.03,7.06,8.6,,271
2016M9,182.89,1398.29,95.58,58.71,110.38,6.67,8.47,,265.85
2016M10,180.76,1296.28,92.45,50.23,110.13,7.21,8.58,,249.38
2016M11,183.14,1280.58,96.11,46.61,109.85,7.32,8.84,,247.49
2016M12,173.98,1281.75,96.59,53.45,112.71,7.86,9.02,,247.91
2017M1,176.77,1224.7,95.62,61.37,114.82,8.64,9,,241.56
2017M2,184.6,1125.47,97.75,71.77,114.5,7.88,8.49,,230.06
2017M3,190.17,1068.95,100.34,68.39,124.66,7.2,8.59,,224.05
2017M4,192.88,1094.84,107.77,59.61,130.7,7.44,8.62,,228.84
2017M5,200.41,1120.36,114.09,68.25,144.71,8.02,9.11,,237.85
2017M6,206.16,1092.07,113.99,82.05,147.41,8.1,9.2,,237
2017M7,205.45,1082.4,107.67,88.06,138.83,8.04,9.25,,234.24
2017M8,189.04,1125.89,104.26,78.57,124.84,7.46,9.61,,234.24
2017M9,188.69,1220.01,110.78,58.95,119.49,7.03,9.2,,244.88
2017M10,189.48,1209.83,117.56,59.12,114.26,6.97,9.08,,243.75
2017M11,190.14,1226.25,117.68,62.86,115.69,6.24,9.18,,246.86
2017M12,184.33,1344.62,114.77,60.54,117.42,6.32,9.24,,262.46
2018M1,188.04,1449.61,121.9,68.2,126.7,7.19,9.48,,281.59
2018M2,194.83,1490.6,124.22,69.58,122.39,7.28,8.79,,288.24
2018M3,193.91,1490.56,124.54,61.41,135.78,8.51,8.59,,289.04
2018M4,190.81,1478.93,125.28,53.97,146.53,8.88,8.84,,287.61
2018M5,188,1344.99,120.02,63.42,158.22,9,8.07,,270.25
2018M6,185.55,1307.02,118.34,77.39,159.95,7.89,8.33,,266.35
2018M7,182.86,1294.91,117.23,74.87,146.97,6.98,8.67,,261.79
2018M8,179.98,1266.35,109.73,51.52,116.53,6.66,8.15,,248.42
2018M9,176.13,1284.14,105.78,52.12,111.77,7.34,8.23,,249.36
2018M10,168.37,1279.65,106.87,64.29,112.26,7.09,8.14,,249.53
2018M11,171.02,1267.85,109.02,57.04,116.63,6.69,8.14,,248.06
2018M12,183.19,1246.58,105.48,52.23,121.93,6.77,8.2,,246.34
2019M1,185.96,1266.92,106.22,54.8,133.15,7.48,8.29,,251.83
2019M2,188.6,1271.36,106.59,52.64,121.03,6.73,7.87,,250.69
2019M3,194.36,1279.39,107.89,57.12,125.1,8.02,7.66,,254.22
2019M4,208.3,1305.91,109.53,78,131.56,7.96,7.59,,264.12
2019M5,200.33,1305.58,111.03,80.63,135.68,7.3,7.5,,264.01
2019M6,202.63,1288.82,114.57,76.43,127.21,7.37,8.03,,260.72
2019M7,204.65,1254.73,115.61,71.93,119.46,7.06,7.94,,254.48
2019M8,204.23,1199.46,113.61,75.17,108.85,6.04,7.69,,245.01
2019M9,205.62,1177.6,115.5,56.39,103.6,5.74,7.57,,238.86
2019M10,212.8,1204.37,122.73,60.42,105.92,5.55,7.54,,245.62
2019M11,258.33,1228.2,132.42,57.34,105.43,6.2,8.07,,256.57
2019M12,250.57,1230.05,134.42,57.23,114.51,7.62,8.14,,257.51
2020M1,212.5,1250.49,135.05,58.68,121.71,8.43,7.97,,256.4
2020M2,206.88,1339.7,128.68,54.88,108.43,7.29,7.41,,264.75
2020M3,192.39,1279.37,117.46,58.76,108.41,6.24,7.46,,252.87
2020M4,195.43,1282.57,112.15,48.67,73.86,5.5,7.07,,246.46
2020M5,214.9,1271.12,110.34,62.78,98.11,6.02,7.31,,252.94
2020M6,215.73,1303.35,110.7,46.54,99.13,6.78,8.04,,255.75
2020M7,199.3,1330.13,110.58,46.19,94.29,5.82,7.11,,256.2
2020M8,200.43,1289.74,113.42,52.41,88.76,5.67,6.94,,251.05
2020M9,197.73,1255.02,114.09,65.59,85.5,5.42,6.79,,247.16
2020M10,190.05,1255.16,115.48,75.59,90.48,5.23,6.88,,248.41
2020M11,190.79,1294.93,112.91,68.13,104.34,5.25,7.2,,254.79
2020M12,189.11,1328.99,113.11,62.28,110.83,5.55,7.83,,259.67
2021M1,197.1,1346.35,123.98,64.04,110.56,5.74,7.53,,265.04
2021M2,204.63,1379.26,128.33,72.82,111.57,6.04,7.43,,272.87
2021M3,205.28,1398.98,132.5,88.88,114.72,7.32,6.51,,279.17
2021M4,224.82,1397.01,138.9,102.16,135.29,7.56,7.11,,287.55
2021M5,239.95,1499.76,149.35,109.58,141.78,8.04,7.4,,307.98
2021M6,246.98,1515.26,152.38,116.19,143.2,7.08,7.44,,312.65
2021M7,245.68,1489.56,150.02,109.52,141.95,7.15,7.72,,307.37
2021M8,247.14,1474.73,150.13,106.35,140.97,6.62,8.05,,304.86
2021M9,249.25,1464.56,152.04,93.03,142.13,6.17,8.19,,302.2
2021M10,251.29,1460.88,153.7,84.85,138.63,6.69,8.22,,300.61
2021M11,258.45,1436.52,162.35,73.76,143.09,6.56,8.42,,298.45
2021M12,260.93,1446.53,165.1,69.89,168.45,7.41,8.43,,303.82
2022M1,262.52,1487.03,168.28,75.63,176.23,8.02,8.73,,312.35
2022M2,269.88,1498.29,166.29,90.39,168.6,8.83,8.3,,315.8
2022M3,275.3,1486.74,165.95,99.45,198.37,9.42,7.83,,320.44
2022M4,271.31,1501.86,162.91,99.3,223.99,10.38,7.55,,325.33
2022M5,269.18,1463.36,145.46,100.15,227.96,10.54,7.76,,317.77
2022M6,262.84,1430.85,140.44,107.06,222.85,9.92,7.96,,311.7
2022M7,257.64,1398.52,135.57,113.43,197.1,8.84,7.6,,302.67
2022M8,252.04,1399.36,135.47,115.85,175.72,7.43,7.98,,299.12
2022M9,246.61,1314.45,123.57,95.95,168.18,6.17,8.41,,280.48
2022M10,241.52,1256.97,115.47,91.57,166.38,6.62,8.22,,269.54
2022M11,228.61,1331.02,106.55,86.19,168.7,7.02,8.39,,276.64
2022M12,213,1413.78,96.36,79.59,168.41,7.89,7.75,,283.83
