Commodity,PBARL,PMAIZMT,PRICENPQ,PSOYB,PWHEAMT,,
2016M4,100.82,164.47,376.05,353.8,163.39,,231.7
2016M5,104.32,169,408.82,388.51,157.56,,245.64
2016M6,114.84,179.91,420.68,421.23,156.7,,258.67
2016M7,107.39,161.82,456.24,390.4,133.71,,249.91
2016M8,98.58,150.22,414.22,370.32,127.9,,232.25
2016M9,95.5,148.51,384,355.9,123.25,,221.43
2016M10,96.7,152.62,367.67,358.39,122.56,,219.59
2016M11,97.88,151.33,360.82,368.37,122.55,,220.19
2016M12,95.99,152.73,367.55,375.29,122.85,,222.88
2017M1,100.06,160.01,372.55,379.59,137.15,,229.87
2017M2,103.9,162.96,368.5,380.87,147.36,,232.72
2017M3,102.57,158.98,367.78,366.1,146.43,,228.37
2017M4,103.35,156.54,374.5,347.86,138.41,,224.13
2017M5,104.45,158.6,402.91,350.18,146.44,,232.52
2017M6,105.87,157.97,444.68,339.73,157.25,,241.1
2017M7,110.81,157.61,419.95,365.45,174.53,,245.67
2017M8,103.24,148.54,405.65,345.41,139.05,,228.38
2017M9,99.28,147.32,413.14,353.86,138.41,,230.4
2017M10,93.78,148.72,407.23,358.28,133.34,,228.27
2017M11,98.27,148.79,404.05,361.41,138.05,,230.11
2017M12,94.33,149.09,407.95,357.15,147.1,,231.12
2018M1,100.25,155.92,422.3,356.87,156.39,,238.35
2018M2,106.77,163.46,417.85,371.23,172.29,,246.32
2018M3,108.99,172.08,409.77,381.89,180.92,,250.73
2018M4,112.21,175.6,432.38,381.27,180.38,,256.37
2018M5,117.17,179.18,433.22,374.85,192.7,,259.42
2018M6,103.49,165.14,413.14,339.96,193.08,,242.96
2018M7,99.01,156.55,378.68,312.56,196.81,,228.72
2018M8,98.87,162.52,383.43,316.66,211.29,,234.56
2018M9,95.43,154.95,383,306.43,191.14,,226.19
2018M10,102.8,160.37,392.04,315.85,188.46,,231.9
2018M11,105.4,160.88,390.82,322.28,181.55,,232.19
2018M12,101.92,167.49,380.33,330.48,188.54,,233.75
2019M1,102.46,166.85,383.74,333.78,188.84,,235.13
2019M2,106.88,169.66,390.55,334.5,177.92,,235.9
2019M3,103.9,166.32,383.14,329.24,164.51,,229.42
2019M4,100.85,161.65,397.41,324.25,159.03,,228.64
2019M5,106.16,171.18,390.3,305.31,158.28,,226.25
2019M6,125.37,195.17,396.25,326.61,174.7,,243.62
2019M7,128.14,189.49,395.96,325.47,163.88,,240.59
2019M8,110.28,163.63,414.68,314.63,149.36,,230.52
2019M9,103.71,157.37,415.43,322.45,146.57,,229.11
2019M10,112.96,167.3,399.13,339.87,153.22,,234.5
2019M11,113.08,166.36,394.57,332.96,157.53,,232.9
2019M12,111.43,167.06,397,334.95,165.25,,235.14
2020M1,115.05,171.81,428.52,337.08,178.24,,246.14
2020M2,110.84,168.74,430.25,325.43,172.23,,241.5
2020M3,101.68,162.18,471.68,319.34,170.87,,245.15
2020M4,97.98,147.01,542.82,309.99,179.75,,255.51
2020M5,98.64,143.99,498.86,309.33,174.95,,245.15
2020M6,101.68,148.04,503.05,318.64,169.72,,248.23
2020M7,102.03,152.59,464.48,328.94,170.57,,243.72
2020M8,102.61,149.39,484.43,332.14,174.18,,248.55
2020M9,102.12,166.6,491.91,366.82,204.14,,266.32
2020M10,102.37,186.77,458.86,387.58,203.43,,267.8
2020M11,108.05,190.63,459.86,419.59,210.75,,277.77
2020M12,112.46,199.18,499.35,443.66,217.31,,294.39
2021M1,125.7,231.75,518.48,504.31,237.94,,323.64
2021M2,137.85,245.55,535.75,507.82,240.81,,333.55
2021M3,138.98,245.76,502.35,519.88,229.89,,327.37
2021M4,154.25,268.62,470.27,537.42,239.94,,334.1
2021M5,195.84,304.3,477.19,576.97,278.45,,366.55
2021M6,187.37,292.52,454.86,537.36,238.77,,342.18
2021M7,180.17,278.45,414.86,523.57,243.63,,328.14
2021M8,169.78,257.02,386.77,504.04,274.88,,318.5
2021M9,175.57,235.82,387,469.44,269.73,,307.51
2021M10,208.66,239.6,388.9,452.02,294.04,,316.64
2021M11,224.36,248.77,383.55,454.58,317.44,,325.74
2021M12,238.51,264.57,383.57,473.81,324.02,,336.9
2022M1,250.92,276.72,397,514.45,326.08,,353.03
2022M2,249.25,292.67,410,583.69,347.5,,376.62
2022M3,256.27,335.93,419.43,617.2,387.67,,403.3
2022M4,262.96,348.51,415.76,618.14,406.03,,410.28
2022M5,257.36,344.91,425.27,617.12,444.16,,417.77
2022M6,259.13,335.72,434.18,621.2,397.65,,409.58
2022M7,240.3,312.68,412.48,571,321.98,,371.69
2022M8,212.4,293.93,411.09,576.82,323.02,,363.45
2022M9,180.59,312.55,426.82,537.55,346.32,,360.77
2022M10,175.43,343.55,416.1,507.54,353.71,,359.27
2022M11,178.62,320.93,416.32,529.75,344.33,,357.99
2022M12,179.31,302.24,444.23,541.83,323.65,,358.25
2023M1,182.43,302.84,480.64,555.51,320.1,,368.3
2023M2,182.17,298.25,484.95,561.29,332.41,,371.81
2023M3,182.89,284.96,453.57,547.23,309.43,,355.61
2023M4,185.83,291.18,479.5,546.87,312.81,,363.24
2023M5,180.37,268.17,491.74,508.35,299.44,,349.61
2023M6,175.48,266.94,492.27,526.3,282.28,,348.65
2023M7,172.93,235.27,512.24,555.11,278.62,,350.83
2023M8,159.44,207.68,607.96,510.15,241.41,,345.33
2023M9,148.2,223.85,606.9,487.15,229.39,,339.1
2023M10,142.12,221.9,574.45,471.93,216.46,,325.37
2023M11,143.3,209.04,555.41,494.35,216,,323.62
2023M12,147.82,207.4,603.24,481.49,229.63,,333.92
2024M1,161.79,198.76,629.09,452.63,226.08,,333.67
2024M2,153.54,188.95,609.52,429.73,219.24,,320.19
2024M3,137.09,190.23,601.71,433.53,211.84,,314.88
2024M4,132.54,190.9,570.14,427.92,208.38,,305.98
2024M5,133.89,201.02,600.52,447.49,227.43,,322.07
2024M6,135.99,191.24,605.5,430.97,205.23,,313.79
2024M7,139.84,177.77,567.04,411.08,183.23,,295.79
2024M8,134.68,169.3,563.77,361.83,175.51,,281.02
2024M9,137.72,183.66,555.1,372.1,188.51,,287.41
2024M10,121.01,189.59,496.61,368.49,197.37,,274.61
2024M11,123.75,201.31,487.43,365.52,185.73,,272.75
2024M12,121.94,202.83,495.68,361.24,185.79,,273.5
2025M1,113.22,214.36,459.78,377.85,190.63,,271.17
2025M2,113.53,221.25,423.5,382.08,190.1,,266.09
2025M3,110.44,207.75,417,369.34,179.61,,256.83
